,Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,2018_Census_Population,NZDep2018
count,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0
mean,3.7643129770992365,2.0677480916030535,85.34351145038168,1388524.9045801526,-36.89390644942749,174.79967291469464,7006328.192748091,47.55057251908397,28.900763358778626,26.98854961832061,24.12881679389313,22.625954198473284,29.39885496183206,179.8425572519084,5.068702290076335
std,1.097355206063472,0.9764122999335337,158.9955647921352,1184432.7721923913,0.1302194735110423,0.11951022824015113,2588.574782952728,24.707946814234905,21.003744592447983,17.9411609318633,10.958008316234618,10.216349896187905,21.823974064313806,71.05928637067511,2.91441980889146
min,1.0,1.0,4.0,270000.0,-37.2650209,174.3170782,7001130.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
25%,3.0,1.0,32.0,780000.0,-36.950873425,174.722226275,7004422.0,33.0,15.0,15.0,18.0,15.0,18.0,138.0,2.0
50%,4.0,2.0,57.0,1080000.0,-36.893408550000004,174.79872765000005,7006333.5,45.0,24.0,24.0,24.0,21.0,27.0,174.0,5.0
75%,4.0,3.0,82.0,1600000.0,-36.85609445,174.88105760000002,7008390.25,57.0,36.0,33.0,30.0,27.0,36.0,207.75,8.0
max,9.0,7.0,2224.0,18000000.0,-36.17765470000001,175.4924245,7011028.0,201.0,270.0,177.0,114.0,90.0,483.0,789.0,10.0
